As Of,Document Create Date,Sales_ID,Material Number,Line Customer Request Date,Delivery Block Item,Delivery Block Description,Quantity Backordered in Base Unit,BackOrderedNetValue_USD,KEY,Rootcause,ETA Full BO,BO Category,Comments
2023-09-25,2023-08-31,459cc9b8-7107,003-100S-01,2023-08-31,16,,6,42336,TZ2314572442,,,0,
2023-09-25,2023-09-15,b3d91139-9f7d,006-TRAYMAT-01,2023-09-15,16,,6,37422,OU9079861594,,,0,
2023-09-25,2023-09-15,8ec9e9c8-65d9,011-BIOTRACE-PRO,2023-09-15,,,14,197904,MR5232598794,,,0,
2023-09-25,2023-08-03,beabf969-ca79,019-CIDEX-01,2023-08-04,16,,1,1324,MF2921441941,,,0,
2023-09-25,2023-08-23,d8ef669e-dbce,012-BIOTRACE-MINI,2023-08-23,,,2,544,JF0015288068,,,0,
2023-09-25,2023-09-15,187fbf67-4819,017-EVOTECH-01,2023-09-15,,,3,44256,RZ8880229437,,,0,
2023-09-25,2023-09-12,f2783f8a-fde3,020-CIDEX-TS-01,2023-09-12,16,,1,48,ZS0094567553,,,0,
2023-09-25,2023-09-13,166c8c6e-91b6,005-APTITRH-01,2023-09-13,16,,5,520,FO6737700068,,,0,
2023-09-25,2023-08-10,1cf9bb0b-e2eb,003-100S-01,2023-08-10,,,1,784,VG4683529870,,,0,
2023-09-25,2023-09-15,bf41ad75-8810,005-APTITRH-01,2023-09-15,16,,2,156,SP1167815850,,,0,
2023-09-25,2023-08-08,d4ac74b1-b142,004-APTITR-01,2023-08-08,,,1,1287,VY5694089415,,,0,
2023-09-25,2023-08-16,8da9ccb5-b186,005-APTITRH-01,2023-08-16,,,2,52,YM7568752897,,,0,
2023-09-25,2023-07-04,b819213c-e2c1,007-TYVEK-01,2023-07-04,,,4,15516,HA2331438056,,,0,
2023-09-25,2023-09-15,74cfc7a3-3738,004-APTITR-01,2023-09-15,16,,12,82368,XF0733659955,,,0,
2023-09-25,2023-08-23,c5e25d3b-9351,010-VELOCITY-01,2023-08-23,,,12,43920,EI6221718949,,,0,
2023-09-25,2023-09-15,f6c7b905-f7b9,006-TRAYMAT-01,2023-09-15,,,12,128304,FI2083943035,,,0,
2023-09-25,2023-08-03,8cb73261-0f03,008-CASSETTE-01,2023-08-03,,,9,98910,ZL4679381344,,,0,
2023-09-25,2023-09-15,f0125ee7-d8e7,004-APTITR-01,2023-09-15,16,,7,45045,VC6339021161,,,0,
2023-09-25,2023-09-15,fd2c72ee-130b,004-APTITR-01,2023-09-15,16,,17,131274,LH3462440815,,,0,
2023-09-25,2023-09-04,756c34a5-1127,012-BIOTRACE-MINI,2023-09-04,,,7,11424,BZ2226512264,,,0,
2023-09-25,2023-09-15,e97d52d0-5697,005-APTITRH-01,2023-09-15,,,14,3458,RI0569279717,,,0,
2023-09-25,2023-09-15,b729936c-2a61,020-CIDEX-TS-01,2023-09-15,16,,9,2016,FC4419747607,,,0,
2023-09-25,2023-09-21,0b81af26-87c8,014-VERISURE-BD,2023-09-21,16,,2,11116,XR2259714270,,,0,
2023-09-25,2023-09-15,e0ada3e7-877b,010-VELOCITY-01,2023-09-15,,,11,29524,ZX3467465218,,,0,
2023-09-25,2023-09-15,e0bf8a15-4098,009-CCB-01,2023-09-15,16,,7,89740,DD9677848667,,,0,
2023-09-25,2023-09-15,a7f39091-4fcc,002-NX-01,2023-09-15,16,,1,8470,JU1416234685,,,0,
2023-09-25,2023-07-26,bbeb5b55-3881,016-AEROFLEX-01,2023-07-26,,,1,404,TX5416355461,,,0,
2023-09-25,2023-09-15,5ba08cfa-7152,015-VERISURE-MI,2023-09-15,,,2,3084,FH0656452883,,,0,
2023-09-25,2023-09-14,8de2eb4a-cf2b,018-ENZOL-01,2023-09-14,16,,1,18050,TH7890006324,,,0,
2023-09-25,2023-09-15,d23bca67-ca06,011-BIOTRACE-PRO,2023-09-15,16,,7,104160,IM1434338717,,,0,
2023-09-25,2023-08-16,8e42d058-9a83,016-AEROFLEX-01,2023-08-16,,,2,11312,VF5705035357,,,0,
2023-09-25,2023-08-17,2450c0ea-9d06,018-ENZOL-01,2023-08-17,16,,2,3800,TB6177902238,,,0,
2023-09-25,2023-05-23,22a75321-f45c,019-CIDEX-01,2023-05-23,16,,14,185360,QO9358293740,,,0,
2023-09-25,2023-08-02,b8c221e5-99a2,007-TYVEK-01,2023-08-02,,,1,431,TC2870575584,,,0,
2023-09-25,2023-09-12,430c94b4-79e2,009-CCB-01,2023-09-12,16,,3,13461,OQ0488626770,,,0,
2023-09-25,2023-09-14,cf1dd3de-5ad1,002-NX-01,2023-09-14,16,,1,3025,EU9926193059,,,0,
2023-09-25,2023-09-15,c85dbcb2-4175,011-BIOTRACE-PRO,2023-09-15,16,,7,72912,BB9779647014,,,0,
2023-09-25,2023-07-24,73023372-54c8,013-SEALSURE-01,2023-07-24,,,1,444,OR9704063873,,,0,
2023-09-25,2023-09-07,bda233ee-fe45,010-VELOCITY-01,2023-09-07,,,13,47580,GT8519473444,,,0,
2023-09-25,2023-08-17,583e75c3-4bcb,009-CCB-01,2023-08-17,,,16,164096,MY3206825369,,,0,
2023-09-25,2023-09-15,94ab5b28-e3eb,012-BIOTRACE-MINI,2023-09-15,16,,4,3808,PQ0475339373,,,0,
2023-09-25,2023-08-17,25d9bbe7-acc9,017-EVOTECH-01,2023-08-17,16,,9,132768,CW6374405147,,,0,
2023-09-25,2023-08-07,64212ec5-193f,004-APTITR-01,2023-08-07,,,10,51480,VO6606225006,,,0,
2023-09-25,2023-08-03,23e2d1c4-0244,010-VELOCITY-01,2023-08-04,16,,1,244,WM2369379742,,,0,
2023-09-25,2023-09-04,74988b2c-38d1,010-VELOCITY-01,2023-09-04,16,,1,244,AJ2524395207,,,0,
2023-09-25,2023-09-14,9e498b48-f9bd,005-APTITRH-01,2023-09-14,16,,3,780,NH9009263980,,,0,
2023-09-25,2023-08-03,daea70b2-f298,009-CCB-01,2023-08-04,16,,3,5769,HM8047554197,,,0,
2023-09-25,2023-09-15,0d979b99-60ff,020-CIDEX-TS-01,2023-09-15,,,12,2304,SE3299254361,,,0,
2023-09-25,2023-09-07,d3fa5c41-12e9,002-NX-01,2023-09-07,16,,1,9680,CA6535242020,,,0,
2023-09-25,2023-08-25,c8c0be7f-9446,006-TRAYMAT-01,2023-08-25,,,16,228096,LQ6158537586,,,0,
2023-09-25,2023-09-15,869a99e6-41f4,018-ENZOL-01,2023-09-15,16,,13,234650,IX9661124712,,,0,
2023-09-25,2023-09-07,ef2776f9-5fb3,018-ENZOL-01,2023-09-07,,,1,1900,RU6730966207,,,0,
2023-09-25,2023-07-19,825338eb-ed29,016-AEROFLEX-01,2023-07-19,,,9,65448,JX3272572138,,,0,
2023-09-25,2023-09-21,4d594890-4c95,003-100S-01,2023-09-21,,,2,10976,FN6440165364,,,0,
2023-09-25,2023-09-15,29538413-a88a,014-VERISURE-BD,2023-09-15,,,2,11116,RA9021671823,,,0,
2023-09-25,2023-09-07,fc1d0dce-7ccd,012-BIOTRACE-MINI,2023-09-07,16,,1,408,TJ5201806667,,,0,
2023-09-25,2023-08-24,11abc4bf-b235,013-SEALSURE-01,2023-08-24,16,,9,17316,UM5464506514,,,0,
2023-09-25,2023-09-15,99a91b22-f5a6,017-EVOTECH-01,2023-09-15,16,,2,12908,BN6850789014,,,0,
2023-09-25,2023-09-12,5bf46f4a-1aa1,011-BIOTRACE-PRO,2023-09-12,,,5,18600,BQ1828886448,,,0,
2023-09-25,2023-09-15,2b6b57ca-4652,012-BIOTRACE-MINI,2023-09-15,16,,1,952,JX4243882485,,,0,
2023-09-25,2023-07-24,b534936b-4112,004-APTITR-01,2023-07-24,,,7,36036,DI6645202073,,,0,
2023-09-25,2023-09-14,92c4149b-a46d,006-TRAYMAT-01,2023-09-14,,,4,35640,DS2794317724,,,0,
2023-09-25,2023-09-12,f6912995-a8e2,013-SEALSURE-01,2023-09-12,16,,3,1776,AR0065251651,,,0,
2023-09-25,2023-07-24,ba551d95-6ab7,021-CIDEZYME-01,2023-07-24,,,12,18900,CH4090037157,,,0,
2023-09-25,2023-09-14,177f0a99-6d31,019-CIDEX-01,2023-09-14,16,,5,16550,IT4676555847,,,0,
2023-09-25,2023-09-05,50920dc1-e074,008-CASSETTE-01,2023-09-05,,,6,28260,ZH1649418521,,,0,
2023-09-25,2023-09-15,5d08eb2b-5d5a,018-ENZOL-01,2023-09-15,,,1,4750,HS0860757535,,,0,
2023-09-25,2023-08-24,eff2be0f-3d8a,018-ENZOL-01,2023-08-24,,,18,324900,HZ8211580023,,,0,
2023-09-25,2023-07-25,174fdc19-9c0b,015-VERISURE-MI,2023-07-24,,,2,8224,LN6069172153,,,0,
2023-09-25,2023-08-12,dd689ccd-4ccd,010-VELOCITY-01,2023-08-11,16,,8,31232,ZK7471084801,,,0,
2023-09-25,2023-09-15,06d3ad23-fe1a,003-100S-01,2023-09-15,16,,1,10192,SZ1093964750,,,0,
2023-09-25,2023-09-15,bdb03093-3530,012-BIOTRACE-MINI,2023-09-15,16,,9,23256,AV4201122623,,,0,
2023-09-25,2023-08-08,4248099f-f0c8,003-100S-01,2023-08-08,,,5,54880,PL6764972083,,,0,
2023-09-25,2023-09-21,78443c74-7741,015-VERISURE-MI,2023-09-20,,,16,148032,TT6245413701,,,0,
2023-09-25,2023-09-15,e63f0fc6-e69e,017-EVOTECH-01,2023-09-15,16,,1,12908,EV7657229065,,,0,
2023-09-25,2023-08-24,18dc60b3-115d,016-AEROFLEX-01,2023-08-24,,,1,8080,QV4544635913,,,0,
2023-09-25,2023-08-04,a71cede4-7907,001-100NX-01,2023-08-04,16,,1,4090,YD0310438816,,,0,
2023-09-25,2023-07-03,024f9b3b-b137,019-CIDEX-01,2023-07-03,,,2,2648,GD2996737273,,,0,
2023-09-25,2023-08-07,9d226308-a659,019-CIDEX-01,2023-08-07,,,7,37072,KY1602583449,,,0,
2023-09-25,2023-09-15,619ef9bb-e990,012-BIOTRACE-MINI,2023-09-15,,,6,15504,SW3583719637,,,0,
2023-09-25,2023-06-19,6e3e539a-a7e7,016-AEROFLEX-01,2023-09-01,,,2,3232,HO4969545254,,,0,
2023-09-25,2023-07-25,9454949e-333f,011-BIOTRACE-PRO,2023-07-24,,,1,3720,PJ5718549990,,,0,
2023-09-25,2023-05-22,ffc2d088-729f,010-VELOCITY-01,2023-05-22,,,6,13176,PB7573669246,,,0,
2023-09-25,2023-08-17,aaa7253f-df29,009-CCB-01,2023-08-17,16,,1,12179,DQ4540797325,,,0,
2023-09-25,2023-09-15,1563456b-69fd,009-CCB-01,2023-09-15,,,6,30768,KK4993590333,,,0,
2023-09-25,2023-08-10,8863a3bc-2564,009-CCB-01,2023-08-10,,,2,3846,PQ3324612340,,,0,
2023-09-25,2023-08-12,b82230f2-d0ee,008-CASSETTE-01,2023-08-11,,,1,2355,NY5593531353,,,0,
2023-09-25,2023-09-15,57d47d0b-0c8e,021-CIDEZYME-01,2023-09-15,16,,6,12600,TS1379812391,,,0,
2023-09-25,2023-09-15,58e841da-f0ae,008-CASSETTE-01,2023-09-15,16,,4,28260,RG4585350681,,,0,
2023-09-25,2023-08-09,8c8f2bb7-99e5,019-CIDEX-01,2023-08-09,,,1,1986,PY8504835971,,,0,
2023-09-25,2023-08-08,f6e81523-a1ed,017-EVOTECH-01,2023-08-08,,,5,59930,ZI5809772857,,,0,
2023-09-25,2023-09-15,9db2d404-6bfc,003-100S-01,2023-09-15,16,,4,37632,JO0049020312,,,0,
2023-09-25,2023-08-31,ca28c08e-296f,009-CCB-01,2023-08-31,,,6,76920,KR6471992378,,,0,
2023-09-25,2023-09-15,5c65afa0-3eaf,002-NX-01,2023-09-15,16,,5,15125,FH2918853349,,,0,
2023-09-25,2023-08-03,0128ed55-89c3,012-BIOTRACE-MINI,2023-08-04,16,,4,2176,IK9977372921,,,0,
2023-09-25,2023-08-16,2841f77f-1dda,020-CIDEX-TS-01,2023-08-16,16,,2,96,XC9935391735,,,0,
2023-09-25,2023-07-24,ff8f33e7-e0cb,004-APTITR-01,2023-07-24,,,10,47190,HU1861762755,,,0,
2023-09-25,2023-09-14,137afc62-d704,013-SEALSURE-01,2023-09-14,16,,18,47952,RA6846702704,,,0,
2023-09-25,2023-08-12,bec0df39-77ab,002-NX-01,2023-08-11,16,,2,10890,HH0294043029,,,0,
2023-09-25,2023-09-14,a1d35c26-db0d,003-100S-01,2023-09-14,,,1,4704,CL0722373606,,,0,
2023-09-25,2023-09-12,e3d8a9c6-e7ab,015-VERISURE-MI,2023-09-12,,,6,30840,CA4629603719,,,0,
2023-09-25,2023-08-03,45dff421-a0ca,008-CASSETTE-01,2023-08-04,16,,1,6280,XV4462808919,,,0,
2023-09-25,2023-08-07,fbfe8e57-9a94,007-TYVEK-01,2023-08-07,,,14,120680,EX1435951082,,,0,
2023-09-25,2023-08-16,7077f2a7-b491,002-NX-01,2023-08-16,16,,4,16940,JG5832585826,,,0,
2023-09-25,2023-06-09,2a30ee48-9ef2,018-ENZOL-01,2023-06-09,,,6,62700,HB7537970612,,,0,
2023-09-25,2023-08-14,8aab4d2d-e3d9,021-CIDEZYME-01,2023-08-14,,,1,105,LY2736207147,,,0,
2023-09-25,2023-07-05,e8af3c98-c748,003-100S-01,2023-07-05,,,5,27440,NQ1143548311,,,0,
2023-09-25,2023-09-14,9156b25a-a123,008-CASSETTE-01,2023-09-14,16,,2,6280,RA9277027602,,,0,
2023-09-25,2023-09-20,3a638f65-13d0,020-CIDEX-TS-01,2023-09-20,16,,4,1088,CE1657720636,,,0,
2023-09-25,2023-09-07,67ef3cde-a2e4,012-BIOTRACE-MINI,2023-09-07,16,,1,1632,PG0053139730,,,0,
2023-09-25,2023-08-16,b6ec12c0-0a89,010-VELOCITY-01,2023-08-16,,,4,8784,OB2415010491,,,0,
2023-09-25,2023-09-07,f431b375-8d45,014-VERISURE-BD,2023-09-07,16,,6,42876,FS2798898451,,,0,
2023-09-25,2023-08-28,91ac6628-b2bc,004-APTITR-01,2023-08-28,,,1,429,DO5378268551,,,0,
2023-09-25,2023-08-31,efa4ad24-3a1d,003-100S-01,2023-08-31,,,7,98784,ME9331732791,,,0,
2023-09-25,2023-08-12,3913d4ac-8ef9,014-VERISURE-BD,2023-08-11,16,,6,42876,FC6898248755,,,0,
2023-09-25,2023-08-10,92cbbf9b-56d3,004-APTITR-01,2023-08-10,,,13,89232,YL2932044724,,,0,
2023-09-25,2023-08-07,f626fb60-1ef7,016-AEROFLEX-01,2023-08-07,,,4,12928,PI4204638083,,,0,
2023-09-25,2023-09-15,1eb737e8-48e7,007-TYVEK-01,2023-09-15,,,4,12068,GR4399003856,,,0,
2023-09-25,2023-09-15,c0ec9882-5c78,019-CIDEX-01,2023-09-15,16,,7,50974,NN3555743583,,,0,
2023-09-25,2023-08-14,27b86a5f-fe57,006-TRAYMAT-01,2023-08-14,,,12,160380,VZ1913262809,,,0,
2023-09-25,2023-08-14,3f4d3ca2-2878,014-VERISURE-BD,2023-08-14,,,2,4764,JM7014622637,,,0,
2023-09-25,2023-09-15,7b48bfdd-9d5b,011-BIOTRACE-PRO,2023-09-15,16,,1,13392,LQ7598540723,,,0,
2023-09-25,2023-08-28,17cc0539-a031,003-100S-01,2023-08-28,,,2,4704,FV7104931355,,,0,
2023-09-25,2023-08-28,e27294f6-79f3,004-APTITR-01,2023-08-28,,,1,1287,RV0650753995,,,0,
2023-09-25,2023-08-31,30c1af21-a808,003-100S-01,2023-08-31,16,,7,109760,GP5898485183,,,0,
2023-09-25,2023-08-12,618ec3a0-f2c5,017-EVOTECH-01,2023-08-11,16,,9,107874,RE8814444502,,,0,
2023-09-25,2023-08-16,bfce898b-095f,014-VERISURE-BD,2023-08-16,16,,3,28584,NR7043347516,,,0,
2023-09-25,2023-09-15,a28d3ceb-7b4e,007-TYVEK-01,2023-09-15,,,6,25860,SB8935796578,,,0,
2023-09-25,2023-08-31,d71b185b-1abc,005-APTITRH-01,2023-09-04,Z1,,8,832,KU7703581844,,,0,
2023-09-25,2023-09-15,e0a78a2e-5427,011-BIOTRACE-PRO,2023-09-15,,,1,4464,HX9977541130,,,0,
2023-09-25,2023-09-15,f66d54cc-9c26,018-ENZOL-01,2023-09-15,16,,3,19950,PV5398367567,,,0,
2023-09-25,2023-09-15,266b53cd-97d3,021-CIDEZYME-01,2023-09-15,,,2,420,VE1177913068,,,0,
2023-09-25,2023-09-14,7d81ac22-346c,019-CIDEX-01,2023-09-14,16,,5,26480,JV3102853239,,,0,
2023-09-25,2023-09-15,fededc18-71d1,012-BIOTRACE-MINI,2023-09-15,16,,8,15232,IP6697373687,,,0,
2023-09-25,2023-08-16,1142ab50-5067,005-APTITRH-01,2023-08-16,16,,4,936,QX5113568522,,,0,
2023-09-25,2023-08-28,31ab57f3-4bdb,003-100S-01,2023-08-28,,,11,172480,AL5391734657,,,0,
2023-09-26,2023-08-28,7c9ff821-4827,010-VELOCITY-01,2023-08-28,,,5,14640,EN2351665337,,,0,
2023-09-26,2023-08-12,e01c8204-9865,009-CCB-01,2023-08-11,16,,5,64100,YE5828916756,,,0,
2023-09-26,2023-09-15,2106edd4-6d66,003-100S-01,2023-09-15,16,,10,86240,DE0629957193,,,0,
2023-09-26,2023-08-28,ba401a3f-f5a5,020-CIDEX-TS-01,2023-08-28,,,13,2704,JL9392328350,,,0,
2023-09-26,2023-08-24,d1f244e6-b907,017-EVOTECH-01,2023-08-24,,,13,191776,EE5320856382,,,0,
2023-09-26,2023-09-15,0c59b7b5-3c78,004-APTITR-01,2023-09-15,,,9,77220,IW9206569556,,,0,
2023-09-26,2023-09-15,15fe5889-9a36,017-EVOTECH-01,2023-09-15,16,,3,13830,RG7401355755,,,0,
2023-09-26,2023-09-15,b05e0287-6a9e,003-100S-01,2023-09-15,16,,2,6272,KM9437947875,,,0,
2023-09-26,2023-09-15,2acdba6e-773d,008-CASSETTE-01,2023-09-15,16,,3,14130,IP9130329454,,,0,
2023-09-26,2023-08-28,f2104c9e-4c4f,002-NX-01,2023-08-28,,,9,76230,BJ9252605413,,,0,
2023-09-26,2023-08-28,a3fc1e2e-9c0b,003-100S-01,2023-08-28,,,15,176400,OJ1340703818,,,0,
2023-09-26,2023-08-12,8de2eb4a-cf2b,018-ENZOL-01,2023-08-11,16,,19,342950,BH0906400801,,,0,
2023-09-26,2023-09-20,b64f313a-3c47,004-APTITR-01,2023-09-20,16,,9,69498,HG5206887064,,,0,
2023-09-26,2023-08-17,d2babeb8-44f1,015-VERISURE-MI,2023-08-17,16,,1,514,UQ6512130582,,,0,
2023-09-26,2023-09-15,743e5e13-0550,008-CASSETTE-01,2023-09-15,,,1,785,BX6950620501,,,0,
2023-09-26,2023-09-11,67d1b280-e7bd,018-ENZOL-01,2023-09-11,,,1,10450,YX4194443330,,,0,
2023-09-26,2023-09-14,4b6a3076-f924,010-VELOCITY-01,2023-09-14,16,,14,51240,NZ8102352615,,,0,
2023-09-26,2023-08-24,91185904-4f3e,010-VELOCITY-01,2023-08-24,,,2,7320,VA7101016426,,,0,
2023-09-26,2023-09-15,ef84ebb0-63a1,021-CIDEZYME-01,2023-09-15,16,,4,2520,PQ8779279533,,,0,
2023-09-26,2023-09-15,e27294f6-79f3,004-APTITR-01,2023-09-15,16,,3,3861,XV7508431494,,,0,
2023-09-26,2023-09-15,5ef68486-1aee,015-VERISURE-MI,2023-09-15,,,18,166536,QF2781792597,,,0,
2023-09-26,2023-08-16,e711bda1-b8a2,019-CIDEX-01,2023-08-16,16,,3,23832,GV2106801440,,,0,
2023-09-26,2023-08-28,c2343af1-bfad,008-CASSETTE-01,2023-08-28,,,3,7065,WD7330810546,,,0,
2023-09-26,2023-08-31,a1f9d753-aa60,021-CIDEZYME-01,2023-08-31,,,3,4725,RD0180988822,,,0,
2023-09-26,2023-09-07,2b78e777-1605,020-CIDEX-TS-01,2023-09-07,16,,4,512,YJ5272445903,,,0,
2023-09-26,2023-09-15,e182ce5d-06ff,008-CASSETTE-01,2023-09-15,,,6,94200,HR4812647751,,,0,
2023-09-26,2023-08-30,3381a277-6d4b,012-BIOTRACE-MINI,2023-08-30,16,,4,10336,QK1015210804,,,0,
2023-09-26,2023-08-08,f1f7775d-4bba,003-100S-01,2023-08-08,,,6,94080,PT3497141588,,,0,
2023-09-26,2023-07-03,49e9051c-62b9,009-CCB-01,2023-07-03,,,1,8974,KI3066876503,,,0,
2023-09-26,2023-09-19,ce3523c6-45bc,020-CIDEX-TS-01,2023-09-19,,,3,144,QF2456064638,,,0,
2023-09-26,2023-08-14,33c82621-ea1e,007-TYVEK-01,2023-08-14,,,4,20688,PF7675750491,,,0,
2023-09-26,2023-09-14,7c7fda8b-f633,018-ENZOL-01,2023-09-14,16,,2,3800,QO1990232625,,,0,
2023-09-26,2023-08-24,1fd12f86-b96c,008-CASSETTE-01,2023-08-24,,,12,113040,DY6787278245,,,0,
2023-09-26,2023-08-16,6983e4e1-137e,008-CASSETTE-01,2023-08-16,16,,8,62800,UW2957283678,,,0,
2023-09-26,2023-09-15,e1acd3e9-75db,019-CIDEX-01,2023-09-15,16,,8,42368,GW5822490621,,,0,
2023-09-26,2023-09-20,0b64d4fc-9815,016-AEROFLEX-01,2023-09-20,16,,1,5252,FF0634487495,,,0,
2023-09-26,2023-09-13,be9deea5-2c3d,014-VERISURE-BD,2023-09-13,,,1,794,SX5664367307,,,0,
2023-09-26,2023-09-15,38de4028-52ef,021-CIDEZYME-01,2023-09-15,,,1,420,YZ7943300052,,,0,
2023-09-26,2023-09-21,3123fbce-4db3,014-VERISURE-BD,2023-09-21,16,,15,190560,MR8406389995,,,0,
2023-09-26,2023-09-15,b38b79d8-a360,005-APTITRH-01,2023-09-15,16,,4,416,BM2879413023,,,0,
2023-09-26,2023-09-07,ea96435a-97d8,018-ENZOL-01,2023-09-07,16,,17,323000,KR6025959726,,,0,
2023-09-26,2023-08-23,fde4f8a8-ed75,015-VERISURE-MI,2023-08-23,,,15,146490,ET9925916515,,,0,
2023-09-26,2023-08-31,0d0a9b3b-2a0c,001-100NX-01,2023-08-31,16,,6,29448,MS3900102562,,,0,
2023-09-26,2023-09-15,31627d94-8a65,007-TYVEK-01,2023-09-15,16,,2,1724,KU2678148177,,,0,
2023-09-26,2023-08-03,fde4b95b-d5c7,002-NX-01,2023-08-04,16,,2,7260,OR4039264894,,,0,
2023-09-26,2023-08-31,ab4a8c93-f51b,020-CIDEX-TS-01,2023-08-31,16,,1,64,PX9220785943,,,0,
2023-09-26,2023-09-15,3850f6db-05f2,002-NX-01,2023-09-15,,,3,5445,OV3973909257,,,0,
2023-09-26,2023-08-03,e7fbdeb3-4349,021-CIDEZYME-01,2023-08-04,16,,1,1050,QH6747790742,,,0,
2023-09-26,2023-08-23,8ddfca6b-471b,014-VERISURE-BD,2023-08-23,,,14,177856,IA0269538679,,,0,
2023-09-26,2023-09-15,d5e244d0-ed97,018-ENZOL-01,2023-09-15,,,10,171000,OH3995981319,,,0,
2023-09-26,2023-09-15,4d7ea5ac-2258,005-APTITRH-01,2023-09-15,,,6,858,TN2126621039,,,0,
2023-09-26,2023-09-12,e2e020a6-9064,014-VERISURE-BD,2023-09-12,16,,2,19056,RE7413336001,,,0,
2023-09-26,2023-08-10,5f8d710d-738a,003-100S-01,2023-08-10,,,4,12544,KQ6506995021,,,0,
2023-09-26,2023-09-14,ba987369-b621,016-AEROFLEX-01,2023-09-14,16,,14,107464,LY6372966767,,,0,
2023-09-26,2023-08-08,5fe1ae2d-8a6d,012-BIOTRACE-MINI,2023-08-08,,,12,24480,LT2183042597,,,0,
2023-09-26,2023-08-16,1ec6ec69-8c73,014-VERISURE-BD,2023-08-16,,,4,19056,LG8505677264,,,0,
2023-09-26,2023-08-23,5e2e55f5-e039,001-100NX-01,2023-08-23,,,12,186504,YR0994199894,,,0,
2023-09-26,2023-09-15,a34e91cd-f23b,011-BIOTRACE-PRO,2023-09-15,,,11,163680,PK7613349735,,,0,
2023-09-26,2023-09-15,fa95a968-3bc7,011-BIOTRACE-PRO,2023-09-15,,,3,8928,FN6336435643,,,0,
2023-09-26,2023-09-20,884a085f-dd61,002-NX-01,2023-09-20,16,,6,21780,DD6602357969,,,0,
2023-09-26,2023-09-04,0e7f738e-b86f,003-100S-01,2023-09-04,,,1,15680,CB9487444481,,,0,
2023-09-26,2023-09-14,82b94375-1278,003-100S-01,2023-09-14,16,,6,61152,IB1119239381,,,0,
2023-09-26,2023-09-15,dff032c9-5ec5,001-100NX-01,2023-09-15,16,,1,818,PW6829876924,,,0,
2023-09-26,2023-09-21,5076248c-c351,006-TRAYMAT-01,2023-09-21,16,,2,17820,EX6805637971,,,0,
2023-09-26,2023-09-15,b438e9d4-49da,008-CASSETTE-01,2023-09-15,,,3,23550,XB5949310621,,,0,
2023-09-26,2023-09-21,72ae37af-dfbe,019-CIDEX-01,2023-09-20,,,11,101948,SG5597352601,,,0,
2023-09-26,2023-07-03,fbcc94a4-e905,007-TYVEK-01,2023-07-03,,,5,12930,RL1863570673,,,0,
2023-09-26,2023-08-16,3d153e68-dec6,003-100S-01,2023-08-16,,,5,19600,BM1032484584,,,0,
2023-09-26,2023-08-10,4a9a0f30-b77a,017-EVOTECH-01,2023-08-10,,,8,132768,ZO1589116831,,,0,
2023-09-26,2023-09-15,557b06e7-0227,009-CCB-01,2023-09-15,16,,2,11538,OE3688543675,,,0,
2023-09-26,2023-07-26,ec22ef4b-a2a2,004-APTITR-01,2023-07-26,,,3,19305,TV5832849916,,,0,
2023-09-26,2023-08-12,605dc76b-5793,012-BIOTRACE-MINI,2023-08-11,16,,4,3808,YP7870069399,,,0,
2023-09-26,2023-09-25,410d0f2a-2d6c,019-CIDEX-01,2023-09-25,16,,2,3972,YP9305753035,,,0,
2023-09-26,2023-09-15,da7a200c-af6d,010-VELOCITY-01,2023-09-15,,,7,23912,HO3423489208,,,0,
2023-09-26,2023-09-15,d5b3fa10-521a,006-TRAYMAT-01,2023-09-15,16,,1,8910,RB1085515532,,,0,
2023-09-26,2023-08-16,d058535e-0632,005-APTITRH-01,2023-08-16,,,1,52,YA4977700596,,,0,
2023-09-26,2023-08-17,0267a85e-75b4,001-100NX-01,2023-08-17,16,,1,16360,MG2474254222,,,0,
2023-09-26,2023-05-23,f188d97c-52f4,015-VERISURE-MI,2023-05-23,16,,7,61166,QE3427077020,,,0,
2023-09-26,2023-08-02,e4156741-38fb,007-TYVEK-01,2023-08-02,,,13,95251,AR6270399332,,,0,
2023-09-26,2023-09-15,49263285-256e,005-APTITRH-01,2023-09-15,16,,3,312,VG3829029834,,,0,
2023-09-26,2023-07-24,f8a06dd0-a9d0,007-TYVEK-01,2023-07-24,,,9,50427,UR3156204199,,,0,
2023-09-26,2023-09-12,640fef10-0b44,016-AEROFLEX-01,2023-09-12,,,12,72720,CU8444838191,,,0,
2023-09-26,2023-08-24,ff5b108e-64b4,021-CIDEZYME-01,2023-08-24,16,,7,6615,RA0446648308,,,0,
2023-09-26,2023-07-24,1ec6c33f-68a6,015-VERISURE-MI,2023-07-24,,,2,3084,PU4109714090,,,0,
2023-09-26,2023-09-07,69941d39-c9e4,005-APTITRH-01,2023-09-07,,,2,104,EJ7700955162,,,0,
2023-09-26,2023-08-17,e1e4c05a-7bfc,004-APTITR-01,2023-08-17,,,11,51909,LY5858890269,,,0,
2023-09-26,2023-08-17,75184ccb-1be1,021-CIDEZYME-01,2023-08-17,16,,4,6300,QB6521411885,,,0,
2023-09-26,2023-08-03,39f54965-6c7b,012-BIOTRACE-MINI,2023-08-04,16,,5,10200,VE7654560564,,,0,
2023-09-26,2023-09-04,46772906-ab03,018-ENZOL-01,2023-09-04,16,,15,213750,UU7556665541,,,0,
