As Of,Document Create Date,Sales_ID,Material Number,Line Customer Request Date,Delivery Block Item,Delivery Block Description,Quantity Backordered in Base Unit,BackOrderedNetValue_USD,KEY,Rootcause,ETA Full BO,BO Category,Comments
2024-07-25,2024-05-29,68a1c685-100e,021-CIDEZYME-01,2024-05-29,16,,8,14280,AC6366274696,Overconsumption,2024-08-06,WD,"990 ea arrived to PA01 warehouse, waiting for inbound."
2024-07-25,2024-03-25,a72e96d3-bda4,002-NX-01,2024-03-25,16,,2,3630,CL7567639320,,,SM,
2024-07-25,2024-07-15,64f0a605-7c2d,013-SEALSURE-01,2024-07-15,16,,4,2368,LU4104070368,,,TS,
2024-07-25,2024-07-15,96ef8ec3-830d,020-CIDEX-TS-01,2024-07-15,16,,5,560,JG4021554635,Overconsumption,2024-08-06,WD,"990 ea arrived to PA01 warehouse, waiting for inbound."
2024-07-26,2024-07-24,49668e8e-4174,009-CCB-01,2024-07-24,16,,4,23076,TO6371508231,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-06-20,7bdf6f95-96c4,020-CIDEX-TS-01,2024-06-20,16,,2,128,KN9128793778,,,SM,
2024-07-26,2024-06-26,6e1318bc-3a84,002-NX-01,2024-06-26,16,,3,12705,IM3232191867,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-06-12,ae306f38-b230,008-CASSETTE-01,2024-06-12,16,,1,7850,XH8068953520,TBD,,SP,TBD
2024-07-26,2024-07-23,aac51922-c396,004-APTITR-01,2024-07-23,,,4,12012,ZW8882367959,,,SM,
2024-07-26,2024-07-24,8075ce84-db0c,016-AEROFLEX-01,2024-07-23,16,,5,16160,RJ5300644323,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-26,2024-07-18,8790018b-8ac3,002-NX-01,2024-07-18,16,,3,9075,QW6399150118,,,SM,
2024-07-26,2024-07-26,c6f6873d-1390,009-CCB-01,2024-07-25,16,,16,174352,VA8780549146,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-03,27252ca6-7604,011-BIOTRACE-PRO,2024-07-03,16,,3,20088,UN2288919556,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-22,0902cd25-6e0a,019-CIDEX-01,2024-07-22,16,,10,125780,DZ4618504540,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-12,93bc6597-d27d,021-CIDEZYME-01,2024-07-12,,,3,2520,HM7313630002,Supplier Delay,2024-07-31,SM,12 eaches in transit + 39 eaches on hand
2024-07-26,2024-05-29,e98acc91-fa6b,017-EVOTECH-01,2024-05-29,16,,10,101420,CJ6788972425,Inventory available to promise/no planning block,,WD,"Inventory available in PA01. CS (Bustos, Alejandra) to remove Block 16 from the orders."
2024-07-26,2024-07-23,45ed3465-739b,002-NX-01,2024-07-23,16,,4,9680,LM0954060708,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-26,2024-07-24,e4ce040b-86ad,007-TYVEK-01,2024-07-24,16,,1,1724,NM8857296043,,,SM,
2024-07-26,2024-03-22,de68b13a-fd95,015-VERISURE-MI,2024-03-22,,,7,61166,PK4554365915,MTO code,2024-08-09,SM,"PO 4500015805. Supplier delay, pending PGR"
2024-07-26,2024-04-02,3b4f7b5b-52fa,014-VERISURE-BD,2024-04-02,,,9,64314,KX6476975559,TBD,2024-05-31,SM,Pinged CS for allocation
2024-07-26,2024-07-04,600eb3c3-5c54,013-SEALSURE-01,2024-07-04,16,,1,296,TP1094213167,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-05-07,df202a9c-4c8f,021-CIDEZYME-01,2024-05-07,16,,1,210,IR8491697116,0,,SM,0
2024-07-26,2024-07-19,de1e7389-ea53,004-APTITR-01,2024-07-19,16,,16,130416,GA2858206518,,,SM,
2024-07-26,2024-07-10,06631585-5c8c,005-APTITRH-01,2024-07-10,,,10,1820,UA4482600928,Overconsumption,2024-08-02,SM,"26EA in QA location, pending to release"
2024-07-26,2024-07-25,e4dcc9ec-e474,021-CIDEZYME-01,2024-07-25,16,,4,1680,HT2460343268,,,SM,
2024-07-26,2024-07-25,1dbb0240-ed96,004-APTITR-01,2024-07-25,16,,3,6435,QP8999768519,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-26,2024-07-04,de0dbf3f-e9d4,004-APTITR-01,2024-07-04,,,12,97812,ZC3354887660,,,TS,
2024-07-26,2024-07-08,a68e3a48-4d94,010-VELOCITY-01,2024-07-08,,,2,1464,PP3593292703,Overconsumption,2024-08-02,SM,"26EA in QA location, pending to release"
2024-07-26,2024-07-09,e0a78a2e-5427,011-BIOTRACE-PRO,2024-07-09,16,,1,4464,QU3512094755,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-26,2024-07-25,c1db9ebf-4d1d,005-APTITRH-01,2024-07-25,,,2,312,QE5462909389,,,TS,
